tipo,cruce,origen,destino,pago_operador,prioridad
MDC-01,,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C3,125.0,1
MDC-01,,GYSA  CDJ,GYSA JUAREZ 5,125.0,1
LOC-02,,LEAR MONARCA,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,250.0,1
MDC-01,,FOKKER,BASE SOTELO CHIHUAHUA,125.0,1
MDC-01,,SOUTHCO.,BASE SOTELO CHIHUAHUA,125.0,1
LOC-01,,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,TORO COMPANY DE MEXICO PLANTA 1,125.0,1
VAC-00,,BASE SOTELO CHIHUAHUA,"CHIEF ENTERPRISES MEXICO, S. DE R.L. DE C.V.",125.0,1
MDC-01,,GYSA JUAREZ JDC,GYSA JUAREZ 4,125.0,1
LOC-01,,BASE SOTELO CHIHUAHUA,XYLEM,125.0,1
MDC-01,,WIREMASTERS,BASE SOTELO CHIHUAHUA,125.0,1
MDC-01,,BASE SOTELO CHIHUAHUA,WIREMASTERS,125.0,1
MDC-01,,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),125.0,1
PTT-00,PUENTE ZARAGOZA,FLETES SOTELO,RIO BRAVO INTERNACIONAL,0.0,10
FOR-01,,GEN,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,250.0,1
MDC-01,,GYSA JUAREZ 5,GYSA  CDJ,125.0,1
LOC-03,,HISCO EL PASO,SOUTHWIRE COMPANY,375.0,1
TRE-02,PUENTE ZARAGOZA,FLETES SOTELO,SMTC PULLMAN,500.0,10
LOC-03,,DELFINGEN US-TEXAS,HISCO EL PASO,250.0,1
S-TER-02,PUENTE STA TERESA,FLETES SOTELO,RIO BRAVO INTERNACIONAL,1500.0,10
S-TER-01,PUENTE STA TERESA,FLETES SOTELO,RIO BRAVO INTERNACIONAL,1500.0,10
MDC-01,,SMTC PLANTA 1,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,125.0,1
MDC-01,,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),125.0,1
PTT-08,,NORDAM,FOKKER,0.0,1
MDC-01,,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C3,250.0,1
LOC-01,,BODEGA NUEVA XOMOX,BASE SOTELO CHIHUAHUA,125.0,1
LOC-03,,FEDERAL-MOGUL EL PASO,DELFINGEN US-TEXAS,125.0,1
MDC-01,,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C3,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,125.0,1
LOC-01,,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LEAR SAN LORENZO,250.0,1
LOC-01,,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LEAR RIO BRAVO,125.0,1
LOC-04,,KORIMA / KUNA LOOP,FEDERAL-MOGUL EL PASO,125.0,1
LOC-03,,KORIMA / KUNA LOOP,EASTLAKE LOGISTICS PARK,250.0,1
MDC-01,,BASE SOTELO CHIHUAHUA,XYLEM,125.0,1
LOC-01,,ARNPRIOR AEROSPACE CHIHUAHUA,BASE SOTELO CHIHUAHUA,125.0,1
FOR-02,,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,GEN,375.0,1
LOC-01,,FLETES SOTELO,GYSA JUAREZ 5,125.0,1
MDC-01,,BASE SOTELO CHIHUAHUA,CMMG INDUTRIAS DE PRECISION S.A DE C.V/PLANTA CHAN,125.0,1
LOC-02,,GYSA JUAREZ 5,GYSA JUAREZ 4,125.0,1
PTT-00,PUENTE AMERICAS,FLETES SOTELO,RIO BRAVO INTERNACIONAL,0.0,10
MDC-01,,BASE SOTELO CHIHUAHUA,ARNPRIOR AEROSPACE CHIHUAHUA,125.0,1
LOC-02,,SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),125.0,1
PTT-00,,FLETES SOTELO,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,0.0,1
MDC-01,,BASE SOTELO CHIHUAHUA,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,125.0,1
PTT-00,PUENTE ZARAGOZA,FLETES SOTELO,NA KELLY,0.0,10
MDC-01,,BASE SOTELO CHIHUAHUA,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C3,125.0,1
LOC-01,,CESSNA PLANTA 4.1,BASE SOTELO CHIHUAHUA,125.0,1
MDC-01,,GYSA JDC,FLETES SOTELO,250.0,1
LOC-01,,APTIV / RIO BRAVO 7 FV32,FLETES SOTELO,250.0,1
PTT-00,,APTIV RIO BRAVO 1 FV39,FLETES SOTELO,0.0,1
LOC-01,,PHINIA / BERMUDEZ,FLETES SOTELO,125.0,1
MDC-01,,GYSA JUAREZ 4,GYSA  CDJ,125.0,1
PTT-00,PUENTE AMERICAS,NA KELLY,FLETES SOTELO,0.0,10
PTT-00,,GYSA JUAREZ 3,PHINIA / BERMUDEZ,0.0,1
PTT-00,,IBCA LOGYSTICS,NA KELLY,0.0,1
LOC-01,,SOUTHCO.,BASE SOTELO CHIHUAHUA,125.0,1
LOC-02,,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C3,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,125.0,1
LOC-04,,13699 GATEWAY WEST,18 LEIGH FISHER,375.0,1
PTT-00,,BASE SOTELO CHIHUAHUA,SOUTHCO.,0.0,1
PTT-00,,GYSA JUAREZ JDC,FLETES SOTELO,0.0,1
IMP-02,PUENTE ZARAGOZA,UNI-TRADE FORWARDING LC,FLETES SOTELO,500.0,10
MDC-01,,GYSA JUAREZ 1,GYSA JDC,250.0,1
TRE-02,PUENTE ZARAGOZA,PRECOS ZARAGOZA,NA KELLY,500.0,10
PTT-00,,FLETES SOTELO,13699 GATEWAY WEST,0.0,1
LOC-02,,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C3,250.0,1
PTT-00,,KORIMA / KUNA LOOP,UNI-TRADE FORWARDING LC,0.0,1
PTT-00,PUENTE AMERICAS,FLETES SOTELO,13699 GATEWAY WEST,0.0,10
PTT-00,PUENTE ZARAGOZA,GYSA  CDJ,13699 GATEWAY WEST,0.0,10
TRE-QMS,PUENTE ZARAGOZA,FLETES SOTELO,KORIMA / KUNA LOOP,1000.0,10
PTT-00,PUENTE ZARAGOZA,FLETES SOTELO,13699 GATEWAY WEST,0.0,10
LOC-02,,FLETES SOTELO,PHINIA / BERMUDEZ,125.0,1
EXP-02,PUENTE ZARAGOZA,GYSA  CDJ,13699 GATEWAY WEST,500.0,10
MDC-01,,FLETES SOTELO,GYSA JUAREZ 1,125.0,1
PTT-00,,KORIMA / KUNA LOOP,SMTC PULLMAN,0.0,1
PTT-00,,SOUTHCO.,BASE SOTELO CHIHUAHUA,0.0,1
PTT-00,,GYSA  CDJ,GYSA JUAREZ 4,0.0,1
PTT-00,,FLETES SOTELO,18 LEIGH FISHER,0.0,1
PTT-00,,SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),BASE SOTELO CHIHUAHUA,0.0,1
MDC-01,,BASE SOTELO CHIHUAHUA,SOUTHCO.,125.0,1
PTT-00,,BASE SOTELO CHIHUAHUA,NORDAM,0.0,1
PTT-00,,BASE SOTELO CHIHUAHUA,BODEGA NUEVA XOMOX,0.0,1
TRI-02,PUENTE ZARAGOZA,18 LEIGH FISHER,GYSA JUAREZ 1,500.0,10
LOC-02,,TORO COMPANY DE MEXICO PLANTA 2,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,125.0,1
LOC-02,,FLEXSTEEL TECMA PLANTA 18,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,125.0,1
LOC-01,,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,TORO COMPANY DE MEXICO PLANTA 2,125.0,1
IMP-01,PUENTE ZARAGOZA,ARIES WORLDWIDE LOGISTICS C/O,ELECTROLUX / LAVADORAS,500.0,10
IMP-01,PUENTE ZARAGOZA,ARIES WORLDWIDE LOGISTICS C/O,ELECTROLUX / PLASTICOS,625.0,10
PTT-00,,P Y H TRAILER ENTERPRISES INC,ARIES WORLDWIDE LOGISTICS C/O,0.0,1
LOC-01,,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,FLEXSTEEL TECMA PLANTA 18,125.0,1
EXP-02,PUENTE ZARAGOZA,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,KORIMA / KUNA LOOP,500.0,10
PTT-00,,SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),DTR,0.0,1
LOC-02,,HONEYWELL OPTOELECTRICA,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,250.0,1
LOC-04,,18 LEIGH FISHER,KORIMA / KUNA LOOP,250.0,1
LOC-02,,CEWS,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,125.0,1
LOC-01,,APTIV / RIO BRAVO 7 FV32,GYSA  CDJ,250.0,1
PTT-00,PUENTE AMERICAS,FLETES SOTELO,CFI,0.0,10
PTT-01,,LEAR LAS TORRES,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,0.0,1
PTT-00,,18 LEIGH FISHER,KORIMA / KUNA LOOP,0.0,1
PTT-00,,GYSA  CDJ,APTIV / RIO BRAVO 7 FV32,0.0,1
MDC-01,,XYLEM,BASE SOTELO CHIHUAHUA,125.0,1
MDC-01,,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,250.0,1
I-VACIO,,KORIMA / KUNA LOOP,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,250.0,1
MDC-01,,ROBERTS CONSOLIDATES,KORIMA / KUNA LOOP,250.0,1
PTT-00,,SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),XYLEM,0.0,1
LOC-04,,KORIMA / KUNA LOOP,SMTC PULLMAN,125.0,1
MDC-01,,DSV,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,125.0,1
LOC-01,,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,HONEYWELL OPTOELECTRICA,250.0,1
LOC-03,,ELLIOT TAPE 28 WALTER JONES,18 LEIGH FISHER,125.0,1
LOC-01,,FLETES SOTELO,GYSA  CDJ,250.0,1
S-TER-02,PUENTE STA TERESA,GYSA JUAREZ 1,18 LEIGH FISHER,1500.0,10
LOC-01,,SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),BASE SOTELO CHIHUAHUA,125.0,1
PTT-00,,SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),BASE SOTELO CHIHUAHUA,0.0,1
LOC-01,,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,CEWS,125.0,1
LOC-03,,M Y N PLASTICS,ELLIOT TAPE 28 WALTER JONES,375.0,1
MDC-01,,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,DSV,125.0,1
MDC-01,,SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),BASE SOTELO CHIHUAHUA,125.0,1
MDC-01,,SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),125.0,1
MDC-01,,SAFRAN PLANTA 5 / LSM/ LIGHTING SOLUTIONS (IDD),SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),125.0,1
MDC-01,,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 5 / LSM/ LIGHTING SOLUTIONS (IDD),125.0,1
LOC-02,,SAFRAN BODEGA COMPLEJO,SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),125.0,1
LOC-02,,IMPULSORA GANE,XYLEM,125.0,1
PTT-00,,NORDAM,XOMOX CHIHUAHUA S.A DE C.V.,0.0,1
PTT-00,,BASE SOTELO CHIHUAHUA,SAFRAN BODEGA COMPLEJO,0.0,1
LOC-01,,CESSNA PLANTA 4.3,BASE SOTELO CHIHUAHUA,125.0,1
LOC-02,,LEAR RIO BRAVO,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,125.0,1
PTT-00,PUENTE AMERICAS,KORIMA / KUNA LOOP,GYSA JUAREZ 1,0.0,10
I-VACIO,PUENTE ZARAGOZA,ARIES WORLDWIDE LOGISTICS C/O,ELECTROLUX / REFRIGERADORES,375.0,10
LOC-03,,FEDERAL-MOGUL EL PASO,M Y N PLASTICS,375.0,1
MDC-01,,FLETES SOTELO,ELECTROLUX / PRODUCTO TERMINADO,375.0,1
LOC-01,,FLETES SOTELO,GYSA JUAREZ 3,125.0,1
PTT-00,,KORIMA / KUNA LOOP,RIO BRAVO INTERNACIONAL,0.0,1
LOC-02,,BASE SOTELO CHIHUAHUA,CESSNA PLANTA 4.3,125.0,1
MDC-01,,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,BASE SOTELO CHIHUAHUA,250.0,1
PTT-00,,ATLAS AEROSPACE,BASE SOTELO CHIHUAHUA,0.0,1
QMS-01,PUENTE ZARAGOZA,ELECTROLUX / REFRIGERADORES,ARIES WORLDWIDE LOGISTICS C/O,1000.0,10
MDC-01,,P Y H TRAILER ENTERPRISES INC,MESILLA VALLEY TRANSPORTATION,125.0,1
MDC-01,,BASE SOTELO CHIHUAHUA,ATLAS AEROSPACE,125.0,1
PTT-00,,SAFRAN CABIN,BASE SOTELO CHIHUAHUA,0.0,1
LOC-02,,CESSNA PLANTA 4.1,BASE SOTELO CHIHUAHUA,125.0,1
MDC-01,,FLETES SOTELO,APTIV / RIO BRAVO 7 FV32,250.0,1
PTT-00,,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,BASE SOTELO CHIHUAHUA,0.0,1
PTT-00,,RIO BRAVO INTERNACIONAL,KORIMA / KUNA LOOP,0.0,1
FAL-00,,RIO BRAVO INTERNACIONAL,PRECOS ZARAGOZA,250.0,1
IMP-02,PUENTE ZARAGOZA,RIO BRAVO INTERNACIONAL,FLETES SOTELO,500.0,10
LOC-01,,GYSA JUAREZ 5,FLETES SOTELO,250.0,1
I-VACIO,PUENTE AMERICAS,KORIMA / KUNA LOOP,FLETES SOTELO,250.0,10
LOC-02,,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,250.0,1
PTT-00,,KORIMA / KUNA LOOP,FLETES SOTELO,0.0,1
TRI-QMS,PUENTE ZARAGOZA,RIO BRAVO INTERNACIONAL,FLETES SOTELO,1000.0,10
PTT-00,,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,0.0,1
PTT-00,,KORIMA / KUNA LOOP,NA KELLY,0.0,1
LOC-04,,EXPEDITORS #2,KORIMA / KUNA LOOP,125.0,1
TRI-02,PUENTE ZARAGOZA,GGLOBAL,FLETES SOTELO,500.0,10
S-TER-02,PUENTE STA TERESA,FLETES SOTELO,EXPEDITORS #2,1500.0,10
S-TER-02,PUENTE STA TERESA,FLETES SOTELO,EXPEDITORS  #1,1500.0,10
PTT-00,,APTIV RIO BRAVO 1 FV39,GYSA JUAREZ 4,0.0,1
MDC-01,,FLETES SOTELO,GYSA JDC,250.0,1
PTT-00,,KORIMA / KUNA LOOP,GGLOBAL,0.0,1
PTT-00,,NA KELLY,SMTC PULLMAN,0.0,1
PTT-00,,SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),IMPULSORA GANE,0.0,1
LOC-04,,KORIMA / KUNA LOOP,GGLOBAL,250.0,1
LOC-02,,TORO COMPANY DE MEXICO PLANTA 3,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,125.0,1
LOC-02,,SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,125.0,1
TRI-02,PUENTE ZARAGOZA,RECINTO FISCAL - PUENTE ZARAGOZA,PRECOS ZARAGOZA,500.0,10
PTT-00,,IMPULSORA GANE,SMTC PLANTA 1,0.0,1
PTT-00,,IMPULSORA GANE,SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),0.0,1
LOC-01,,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,TORO COMPANY DE MEXICO PLANTA 3,125.0,1
PTT-00,,48 WALTER JONES,RIO BRAVO INTERNACIONAL,0.0,1
PTT-00,,UNI-TRADE FORWARDING LC,NA KELLY,0.0,1
PTT-00,,13699 GATEWAY WEST,RIO BRAVO INTERNACIONAL,0.0,1
LOC-04,,EXPEDITORS  #1,UNI-TRADE FORWARDING LC,250.0,1
PTT-00,,GYSA JUAREZ 2,FLETES SOTELO,0.0,1
LOC-01,PUENTE ZARAGOZA,KORIMA / KUNA LOOP,RIO BRAVO INTERNACIONAL,125.0,10
PTT-00,,KORIMA / KUNA LOOP,IBCA LOGYSTICS,0.0,1
EXP-02,PUENTE ZARAGOZA,GYSA JUAREZ 1,KORIMA / KUNA LOOP,500.0,10
LOC-02,,GYSA JUAREZ 1,GYSA JUAREZ 2,125.0,1
IMP-02,PUENTE ZARAGOZA,NA KELLY,APTIV / RIO BRAVO 7 FV32,500.0,10
LOC-02,,EAGLE OTAWA / ANTONIO J. BERMUDEZ,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,250.0,1
LOC-02,,PKC GROUP  / FRESNEL 7650,GYSA JUAREZ JDC,250.0,1
LOC-04,,YARDA ARIES,STANCO METAL PRODUCTS,125.0,1
EXP-02,PUENTE ZARAGOZA,GYSA JUAREZ 3,KORIMA / KUNA LOOP,500.0,10
PTT-00,,SMTC PLANTA 1,XYLEM,0.0,1
LOC-03,,EXPEDITORS  #1,EXPEDITORS #2,125.0,1
LOC-01,,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,EAGLE OTAWA / ANTONIO J. BERMUDEZ,250.0,1
TRE-02,PUENTE ZARAGOZA,FLETES SOTELO,EMERALD PASS DR.,500.0,10
LOC-02,,SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),SAFRAN BODEGA COMPLEJO,125.0,1
PTT-00,,ARIES WORLDWIDE LOGISTICS C/O,YARDA ARIES,0.0,1
LOC-01,,GYSA JUAREZ 2,GYSA JUAREZ 1,125.0,1
PTT-00,,SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),0.0,1
EXP-02,PUENTE ZARAGOZA,FLETES SOTELO,KORIMA / KUNA LOOP,500.0,10
LOC-04,,IBCA LOGYSTICS,KORIMA / KUNA LOOP,250.0,1
PTT-08,,FOKKER,BASE SOTELO CHIHUAHUA,0.0,1
LOC-01,,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),125.0,1
PTT-00,,APTIV RIO BRAVO 1 FV39,PHINIA / BERMUDEZ,0.0,1
LOC-02,,GENASCO,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,250.0,1
LOC-01,,FLETES SOTELO,PKC GROUP  / FRESNEL 7650,125.0,1
LOC-01,,APTIV RIO BRAVO 4 FV33,FLETES SOTELO,125.0,1
PTT-00,PUENTE ZARAGOZA,ELECTROLUX / PRODUCTO TERMINADO,MESILLA VALLEY TRANSPORTATION,0.0,10
PTT-00,PUENTE ZARAGOZA,ELECTROLUX / PRODUCTO TERMINADO,ARIES WORLDWIDE LOGISTICS C/O,0.0,10
LOC-01,,FLETES SOTELO,APTIV RIO BRAVO 1 FV39,125.0,1
EXP-02,PUENTE ZARAGOZA,FLETES SOTELO,13699 GATEWAY WEST,500.0,10
LOC-01,,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,GENASCO,250.0,1
LOC-01,,SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,125.0,1
MDC-01,,GYSA JDC,GYSA JUAREZ 4,125.0,1
LOC-02,,FLETES SOTELO,APTIV RIO BRAVO 4 FV33,125.0,1
LOC-02,,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,TORO COMPANY DE MEXICO PLANTA 2,125.0,1
PTT-00,,FOKKER,DTR,0.0,1
LOC-02,,FLETES SOTELO,APTIV / RIO BRAVO 7 FV32,250.0,1
LOC-01,,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),125.0,1
VAC-04,,BASE SOTELO CHIHUAHUA,FOKKER,125.0,1
VAC-00,PUENTE ZARAGOZA,ELECTROLUX / REFRIGERADORES,STAGECOACH / 5850 WELCH AVE.,500.0,10
PTT-00,,NORDAM,BASE SOTELO CHIHUAHUA,0.0,1
TRL-00,,BASE SOTELO CHIHUAHUA,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,0.0,1
TRL-00,,BASE SOTELO CHIHUAHUA,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C3,0.0,1
PTT-00,,GYSA JUAREZ 5,FLETES SOTELO,0.0,1
PTT-00,,YAZAKI COMPONENTES PLANTA 3,SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),0.0,1
LOC-01,,BASE SOTELO CHIHUAHUA,YAZAKI COMPONENTES PLANTA 3,125.0,1
LOC-02,,"COFICAB LEON, S. DE R.L. DE C.V. / PLANTA JUAREZ",FLETES SOTELO,375.0,1
LOC-02,,ADUANA MEXICANAPTE ZARAGOZA,ELECTROLUX / PRODUCTO TERMINADO,250.0,1
I-VACIO,PUENTE AMERICAS,MESILLA VALLEY TRANSPORTATION,ELECTROLUX / PRODUCTO TERMINADO,500.0,10
LOC-02,,PUENTE  ZARAGOZA,FLETES SOTELO,250.0,1
LOC-02,,FLETES SOTELO,PRECOS ZARAGOZA,250.0,1
PTT-00,,RIO BRAVO INTERNACIONAL,FLETES SOTELO,0.0,1
PTT-00,,NA KELLY,ELECTROLUX / REFRIGERADORES,0.0,1
FAL-00,PUENTE ZARAGOZA,RIO BRAVO INTERNACIONAL,FLETES SOTELO,250.0,10
MDC-01,,"COFICAB LEON, S. DE R.L. DE C.V. / PLANTA JUAREZ",FLETES SOTELO,375.0,1
LOC-03,,PUENTE  ZARAGOZA,PUENTE  ZARAGOZA,250.0,1
LOC-03,,NA KELLY,PUENTE  ZARAGOZA,250.0,1
PTT-00,PUENTE ZARAGOZA,P Y H TRAILER ENTERPRISES INC,NA KELLY,0.0,10
LOC-02,,ELECTROLUX / PRODUCTO TERMINADO,ADUANA MEXICANAPTE ZARAGOZA,250.0,1
LOC-02,PUENTE ZARAGOZA,FLETES SOTELO,PRECOS ZARAGOZA,250.0,10
IMP-02,PUENTE ZARAGOZA,NA KELLY,FLETES SOTELO,500.0,10
PTT-00,,GYSA JUAREZ JDC,ELECTROLUX / PRODUCTO TERMINADO,0.0,1
LOC-02,,GYSA JUAREZ 1,PUENTE  ZARAGOZA,250.0,1
PTT-00,,MESILLA VALLEY TRANSPORTATION,MELTON,0.0,1
LOC-02,PUENTE ZARAGOZA,FLETES SOTELO,PUENTE  ZARAGOZA,250.0,10
IMP-02,PUENTE ZARAGOZA,KORIMA / KUNA LOOP,GYSA JUAREZ JDC,500.0,10
LOC-02,,FLETES SOTELO,PUENTE  ZARAGOZA,250.0,1
PTT-00,PUENTE ZARAGOZA,FLETES SOTELO,KORIMA / KUNA LOOP,0.0,10
TRI-QMS,PUENTE ZARAGOZA,KORIMA / KUNA LOOP,FLETES SOTELO,1000.0,10
PTT-00,,MESILLA VALLEY TRANSPORTATION,KORIMA / KUNA LOOP,0.0,1
MDC-01,,FLETES SOTELO,"COFICAB LEON, S. DE R.L. DE C.V. / PLANTA JUAREZ",375.0,1
LOC-01,,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),125.0,1
IMP-02,PUENTE ZARAGOZA,KORIMA / KUNA LOOP,FLETES SOTELO,500.0,10
MDC-01,,GYSA JUAREZ 2,GYSA JUAREZ 1,125.0,1
MDC-01,,FLETES SOTELO,GYSA JUAREZ 2,125.0,1
LOC-01,,FLETES SOTELO,HONEYWELL 2,125.0,1
LOC-01,,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,BASE SOTELO CHIHUAHUA,250.0,1
MDC-01,PUENTE ZARAGOZA,APTIV / RIO BRAVO 7 FV32,FLETES SOTELO,250.0,10
LOC-02,,SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),ADIENT APASEO EL GRANDE,125.0,1
LOC-04,,EMERALD PASS DR.,13699 GATEWAY WEST,125.0,1
PTT-00,,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),0.0,1
LOC-02,,TORO COMPANY DE MEXICO PLANTA 1,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,125.0,1
LOC-01,,GYSA JUAREZ 3,FLETES SOTELO,125.0,1
FAL-00,PUENTE ZARAGOZA,ESCOTO CUSTOMS BROKERS INC,PRECOS ZARAGOZA,500.0,10
LOC-02,,ESCOTO CUSTOMS BROKERS INC,KORIMA / KUNA LOOP,250.0,1
LOC-01,,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,FLETES SOTELO,250.0,1
LOC-01,,"COFICAB LEON, S. DE R.L. DE C.V. / PLANTA JUAREZ",FLETES SOTELO,375.0,1
PTT-00,PUENTE AMERICAS,KORIMA / KUNA LOOP,ELECTROLUX / ESTAMPADOS,0.0,10
LOC-02,,HONEYWELL HPS,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,250.0,1
LOC-04,,KORIMA / KUNA LOOP,13699 GATEWAY WEST,250.0,1
MDC-01,,GYSA  CDJ,ELECTROLUX / REFRIGERADORES,250.0,1
LOC-03,,18 LEIGH FISHER,KORIMA / KUNA LOOP,250.0,1
PTT-00,PUENTE AMERICAS,NA KELLY,ELECTROLUX / REFRIGERADORES,0.0,10
LOC-02,,GYSA JUAREZ 5,GYSA JUAREZ 2,250.0,1
LOC-02,,PRECOS ZARAGOZA,FLETES SOTELO,250.0,1
LOC-01,,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,HONEYWELL HPS,250.0,1
LOC-01,,FORTUNE PLASTIC AND METAL DE CHIHUAHUA S.A DE C.V,FLETES SOTELO,125.0,1
PTT-00,,13699 GATEWAY WEST,FLETES SOTELO,0.0,1
LOC-04,,LEGRAND DPC,KORIMA / KUNA LOOP,625.0,1
PTT-00,,GYSA JUAREZ 1,FORTUNE PLASTIC AND METAL DE CHIHUAHUA S.A DE C.V,0.0,1
LOC-04,,LEGRAND DPC,NA KELLY,625.0,1
FAL-00,PUENTE ZARAGOZA,NA KELLY,APTIV / RIO BRAVO 7 FV32,250.0,10
LOC-01,,GYSA JUAREZ 5,GYSA JUAREZ 4,125.0,1
FAL-00,PUENTE ZARAGOZA,NA KELLY,APTIV RIO BRAVO 1 FV39,250.0,10
LOC-04,,18 LEIGH FISHER,13699 GATEWAY WEST,375.0,1
LOC-03,,RIO BRAVO INTERNACIONAL,KORIMA / KUNA LOOP,250.0,1
LOC-03,,18 LEIGH FISHER,PUENTE  ZARAGOZA,250.0,1
LOC-02,,GYSA JUAREZ 5,GYSA JUAREZ 1,250.0,1
