tipo,cruce,origen,destino,pago_operador,prioridad
E-VACIO,PUENTE AMERICAS,ELECTROLUX / REFRIGERADORES,ARIES WORLDWIDE LOGISTICS C/O,500.0,10
PTT-00,,FLETES SOTELO,GYSA JUAREZ 3,0.0,1
EXP-02,PUENTE ZARAGOZA,SHELTER AIN SERVICIOS,"TMX LOGISTICS, INC.",500.0,10
PTT-00,,BASE SOTELO CHIHUAHUA,ATLAS AEROSPACE,0.0,1
LOC-01,,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),125.0,1
S-TER-02,PUENTE ZARAGOZA,STANCO METAL PRODUCTS,ELECTROLUX / REFRIGERADORES,1000.0,10
S-TER-02,PUENTE ZARAGOZA,GYSA JUAREZ 1,18 LEIGH FISHER,1500.0,10
TRE-02,,FLETES SOTELO,EASTLAKE LOGISTICS PARK,500.0,1
PTT-00,,FLETES SOTELO,SHELTER AIN SERVICIOS,0.0,1
MDC-01,,GYSA JUAREZ JDC,FLETES SOTELO,250.0,1
TRI-02,PUENTE ZARAGOZA,RIO BRAVO INTERNACIONAL,FLETES SOTELO,500.0,10
PTT-00,,SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),BASE SOTELO CHIHUAHUA,0.0,1
VAC-04,,FOKKER,BASE SOTELO CHIHUAHUA,125.0,1
LOC-03,,KORIMA / KUNA LOOP,"TMX LOGISTICS, INC.",250.0,1
LOC-01,,GYSA JUAREZ JDC,FLETES SOTELO,250.0,1
PTT-00,,SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),BASE SOTELO CHIHUAHUA,0.0,1
MDC-01,,GYSA JUAREZ 3,FLETES SOTELO,125.0,1
LOC-01,,IMPULSORA GANE,DSV,125.0,1
LOC-01,,IMPULSORA GANE,BASE SOTELO CHIHUAHUA,125.0,1
PTT-00,,DTR,BASE SOTELO CHIHUAHUA,0.0,1
EXP-02,PUENTE ZARAGOZA,GYSA JUAREZ 1,13699 GATEWAY WEST,500.0,10
PTT-00,,FLETES SOTELO,GYSA JUAREZ 1,0.0,1
LOC-02,,FLETES SOTELO,GYSA  CDJ,250.0,1
MDC-01,,GYSA JUAREZ 4,FLETES SOTELO,250.0,1
E-VACIO,PUENTE AMERICAS,ELECTROLUX / ESTAMPADOS,MELTON,500.0,10
PTT-00,,ROBERTS CONSOLIDATES,KORIMA / KUNA LOOP,0.0,1
MDC-01,,FLETES SOTELO,GYSA  CDJ,250.0,1
