Coordenada,Origen,Destino,Tipo,Cruce, pago 
2905377-2,18 LEIGH FISHER,FLETES SOTELO,TRI-02,PUENTE ZARAGOZA, $500.00 
2905377-1,KORIMA / KUNA LOOP,18 LEIGH FISHER,PTT-00,, $-   
2904712-25,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,BASE SOTELO CHIHUAHUA,MDC-01,, $125.00 
2905374-3,13699 GATEWAY WEST,KORIMA / KUNA LOOP,LOC-04,, $250.00 
2905374-2,GYSA JUAREZ 4,13699 GATEWAY WEST,EXP-02,PUENTE ZARAGOZA, $500.00 
2905374-1,FLETES SOTELO,GYSA JUAREZ 4,PTT-00,, $-   
2905431-1,ATLAS AEROSPACE,XYLEM,PTT-00,, $-   
2905416-1,DSV,SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),LOC-02,, $125.00 
2905365-3,FLETES SOTELO,EMERALD PASS DR.,EXP-01,PUENTE ZARAGOZA, $500.00 
2905359-1,GYSA  CDJ,GYSA JUAREZ 1,LOC-02,, $250.00 
2904654-6,LEGRAND DPC,SMTC PULLMAN,LOC-04,, $625.00 
2905077-2,GYSA JUAREZ 3,13699 GATEWAY WEST,EXP-02,PUENTE ZARAGOZA, $500.00 
2905000-3,FLETES SOTELO,13699 GATEWAY WEST,TRE-02,PUENTE ZARAGOZA, $500.00 
2905360-5,BASE SOTELO CHIHUAHUA,PACTIV DE MEXICO S. DE R.L DE C.V.,MDC-01,, $125.00 
2905356-3,GYSA JUAREZ 1,18 LEIGH FISHER,S-TER-02,," $1,500.00 "
2905335-1,ELECTROLUX / REFRIGERADORES,ARIES WORLDWIDE LOGISTICS C/O,E-VACIO,PUENTE AMERICAS, $500.00 
2905355-1,FLETES SOTELO,GYSA JUAREZ 3,PTT-00,, $-   
2905295-4,SHELTER AIN SERVICIOS,"TMX LOGISTICS, INC.",EXP-02,PUENTE ZARAGOZA, $500.00 
2905430-1,BASE SOTELO CHIHUAHUA,ATLAS AEROSPACE,PTT-00,, $-   
2905425-1,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),LOC-01,, $125.00 
2905314-1,STANCO METAL PRODUCTS,ELECTROLUX / REFRIGERADORES,S-TER-02,PUENTE ZARAGOZA," $1,000.00 "
2905339-3,GYSA JUAREZ 1,18 LEIGH FISHER,S-TER-02,PUENTE ZARAGOZA," $1,500.00 "
2905338-5,FLETES SOTELO,EASTLAKE LOGISTICS PARK,TRE-02,, $500.00 
2905295-3,FLETES SOTELO,SHELTER AIN SERVICIOS,PTT-00,, $-   
2904623-22,GYSA JUAREZ JDC,FLETES SOTELO,MDC-01,, $250.00 
2905084-2,RIO BRAVO INTERNACIONAL,FLETES SOTELO,TRI-02,PUENTE ZARAGOZA, $500.00 
2905423-14,SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),BASE SOTELO CHIHUAHUA,PTT-00,, $-   
2905361-2,FOKKER,BASE SOTELO CHIHUAHUA,VAC-04,, $125.00 
2904802-6,KORIMA / KUNA LOOP,"TMX LOGISTICS, INC.",LOC-03,, $250.00 
2905205-3,GYSA JUAREZ JDC,FLETES SOTELO,LOC-01,, $250.00 
2905338-3,SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),BASE SOTELO CHIHUAHUA,PTT-00,, $-   
2904631-9,GYSA JUAREZ 3,FLETES SOTELO,MDC-01,, $125.00 
2905415-1,IMPULSORA GANE,DSV,LOC-01,, $125.00 
2905414-1,IMPULSORA GANE,BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2905329-4,DTR,BASE SOTELO CHIHUAHUA,PTT-00,, $-   
2905328-2,GYSA JUAREZ 1,13699 GATEWAY WEST,EXP-02,PUENTE ZARAGOZA, $500.00 
2905328-1,FLETES SOTELO,GYSA JUAREZ 1,PTT-00,, $-   
2905140-3,FLETES SOTELO,GYSA  CDJ,LOC-02,, $250.00 
2904635-9,GYSA JUAREZ 4,FLETES SOTELO,MDC-01,, $250.00 
2905320-1,ELECTROLUX / ESTAMPADOS,MELTON,E-VACIO,PUENTE AMERICAS, $500.00 
2904802-5,ROBERTS CONSOLIDATES,KORIMA / KUNA LOOP,PTT-00,, $-   
2904630-8,FLETES SOTELO,GYSA  CDJ,MDC-01,, $250.00 
2905178-3,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),PTT-00,, $-   
2905338-1,SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),PTT-00,, $-   
2905283-2,"COFICAB LEON, S. DE R.L. DE C.V. / PLANTA JUAREZ",GYSA JUAREZ JDC,LOC-02,, $250.00 
2905408-1,XYLEM,IMPULSORA GANE,LOC-02,, $125.00 
2905310-1,ELECTROLUX / LAVADORAS,ARIES WORLDWIDE LOGISTICS C/O,E-VACIO,PUENTE AMERICAS, $500.00 
2905336-1,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,LOC-01,, $125.00 
2904848-4,KORIMA / KUNA LOOP,ROBERTS CONSOLIDATES,LOC-03,, $250.00 
2905361-1,BASE SOTELO CHIHUAHUA,FOKKER,PTT-08,, $-   
2905297-1,ELECTROLUX / REFRIGERADORES,STAGECOACH / 5850 WELCH AVE.,VAC-00,PUENTE AMERICAS, $500.00 
2904818-4,HOTEL RED ROOF INN CHITO SAMANIEGO DR,RIO BRAVO INTERNACIONAL,PTT-00,, $-   
2905125-2,GYSA JUAREZ JDC,18 LEIGH FISHER,S-TER-01,PUENTE STA TERESA," $1,500.00 "
2905407-1,NORDAM,XYLEM,PTT-00,, $-   
2905313-3,GYSA JUAREZ 1,FLETES SOTELO,LOC-01,, $125.00 
2905312-1,FLETES SOTELO,RIO BRAVO INTERNACIONAL,E-VACIO,PUENTE ZARAGOZA, $250.00 
2905295-2,SHELTER AIN SERVICIOS,FLETES SOTELO,PTT-00,, $-   
2905204-3,FLETES SOTELO,FEDEX GROUND,EXP-02,PUENTE ZARAGOZA, $500.00 
2905301-5,XYLEM,BASE SOTELO CHIHUAHUA,PTT-00,, $-   
2905027-3,BASE SOTELO CHIHUAHUA,NORDAM,MDC-01,, $125.00 
2905287-1,MELTON,P Y H TRAILER ENTERPRISES INC,PTT-00,, $-   
2905295-1,FLETES SOTELO,SHELTER AIN SERVICIOS,LOC-01,, $125.00 
2905284-1,ELECTROLUX / REFRIGERADORES,STANCO METAL PRODUCTS,L-VAC-05,PUENTE STA TERESA, $750.00 
2905274-1,MESILLA VALLEY TRANSPORTATION,P Y H TRAILER ENTERPRISES INC,PTT-00,, $-   
2905277-1,MESILLA VALLEY TRANSPORTATION,ELECTROLUX / PRODUCTO TERMINADO,I-VACIO,PUENTE ZARAGOZA, $375.00 
2904848-3,FLETES SOTELO,KORIMA / KUNA LOOP,PTT-00,PUENTE AMERICAS, $-   
2905295-5,"TMX LOGISTICS, INC.",KORIMA / KUNA LOOP,LOC-04,, $250.00 
2904819-5,FIGEAC,BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2905011-3,FLETES SOTELO,EASTLAKE LOGISTICS PARK,FAL-00,PUENTE ZARAGOZA, $250.00 
2904812-10,SAFRAN PLANTA 5 / LSM/ LIGHTING SOLUTIONS (IDD),BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2905174-8,FLETES SOTELO,GYSA JUAREZ JDC,LOC-02,, $250.00 
2905125-1,FLETES SOTELO,GYSA JUAREZ JDC,PTT-00,, $-   
2905285-2,RIO BRAVO INTERNACIONAL,PRECOS ZARAGOZA,TRI-QMS,PUENTE ZARAGOZA," $1,000.00 "
2905285-1,KORIMA / KUNA LOOP,RIO BRAVO INTERNACIONAL,LOC-04,, $125.00 
2904812-9,SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),SAFRAN PLANTA 5 / LSM/ LIGHTING SOLUTIONS (IDD),LOC-02,, $125.00 
2905283-1,FLETES SOTELO,"COFICAB LEON, S. DE R.L. DE C.V. / PLANTA JUAREZ",LOC-01,, $375.00 
2904812-8,SAFRAN PLANTA 3 /IMX/ ELECTRICAL COMPONENTS(ICORE),SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),LOC-02,, $125.00 
2905159-3,IMPULSORA GANE,BASE SOTELO CHIHUAHUA,PTT-00,, $-   
2904812-6,SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),LOC-02,, $125.00 
2904636-12,FLETES SOTELO,GYSA JUAREZ 5,MDC-01,, $125.00 
2904635-8,FLETES SOTELO,GYSA JUAREZ 4,MDC-01,, $250.00 
2904812-5,SAFRAN PLANTA 5 / LSM/ LIGHTING SOLUTIONS (IDD),SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),LOC-02,, $125.00 
2904819-4,BASE SOTELO CHIHUAHUA,FIGEAC,MDC-01,, $125.00 
2904812-4,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 5 / ELM / ELECTRIC MEXICO (SEPS),MDC-01,, $125.00 
2905266-5,EXPEDITORS  #1,KORIMA / KUNA LOOP,LOC-04,, $125.00 
2905266-4,FLETES SOTELO,EXPEDITORS  #1,TRE-02,PUENTE ZARAGOZA, $500.00 
2905032-2,ESCOTO CUSTOMS BROKERS INC,PRECOS ZARAGOZA,TRI-02,PUENTE ZARAGOZA, $500.00 
2904627-21,GYSA JDC,GYSA JUAREZ 3,MDC-01,, $250.00 
2905176-5,YAZAKI COMPONENTES PLANTA 3,BASE SOTELO CHIHUAHUA,PTT-00,, $-   
2905061-3,DTR,BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2905263-4,13699 GATEWAY WEST,KORIMA / KUNA LOOP,TRE-02,PUENTE ZARAGOZA, $250.00 
2905263-3,FLETES SOTELO,13699 GATEWAY WEST,LOC-04,, $375.00 
2904626-12,GYSA JUAREZ 1,FLETES SOTELO,MDC-01,, $125.00 
2905259-1,FLETES SOTELO,APTIV / RIO BRAVO 7 FV32,PTT-00,, $-   
2905266-2,IMPULSORA GANE,BASE SOTELO CHIHUAHUA,MDC-01,, $125.00 
2905176-4,BASE SOTELO CHIHUAHUA,YAZAKI COMPONENTES PLANTA 3,PTT-00,, $-   
2904818-3,RIO BRAVO INTERNACIONAL,HOTEL RED ROOF INN CHITO SAMANIEGO DR,PTT-00,, $-   
2904627-20,GYSA JUAREZ 3,GYSA JDC,MDC-01,, $250.00 
2905221-2,GYSA JUAREZ 3,FLETES SOTELO,PTT-00,, $-   
2905266-1,BASE SOTELO CHIHUAHUA,IMPULSORA GANE,PTT-00,, $-   
2904753-5,NA KELLY,FLETES SOTELO,PTT-00,, $-   
2904819-2,RIO BRAVO INTERNACIONAL,PRECOS ZARAGOZA,TRI-02,PUENTE ZARAGOZA, $500.00 
2905268-2,SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2904634-20,GYSA  CDJ,GYSA JUAREZ 3,MDC-01,, $250.00 
2902669-6,KORIMA / KUNA LOOP,FLETES SOTELO,PTT-00,PUENTE AMERICAS, $-   
2905174-6,YAZAKI COMPONENTES PLANTA 3,BASE SOTELO CHIHUAHUA,MDC-01,, $125.00 
2905224-3,APTIV RIO BRAVO 1 FV39,FLETES SOTELO,LOC-01,, $125.00 
2904626-16,GYSA JUAREZ JDC,GYSA JUAREZ 3,MDC-01,, $250.00 
2905059-3,GYSA  CDJ,FLETES SOTELO,PTT-00,, $-   
2905324-3,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,BASE SOTELO CHIHUAHUA,PTT-00,, $-   
2905148-2,GYSA JUAREZ 4,KORIMA / KUNA LOOP,EXP-02,PUENTE ZARAGOZA, $500.00 
2905268-1,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),PTT-00,, $-   
2905230-3,NA KELLY,FLETES SOTELO,PTT-00,PUENTE ZARAGOZA, $-   
2902669-5,UPS FACILITY 10 LEIGHT FISHER,KORIMA / KUNA LOOP,LOC-04,, $250.00 
2905140-2,13699 GATEWAY WEST,FLETES SOTELO,IMP-02,PUENTE ZARAGOZA, $500.00 
2904982-2,FLETES SOTELO,NA KELLY,TRE-02,PUENTE ZARAGOZA, $500.00 
2905176-3,BASE SOTELO CHIHUAHUA,YAZAKI COMPONENTES PLANTA 3,MDC-01,, $125.00 
2905208-4,APTIV / RIO BRAVO 7 FV32,FLETES SOTELO,PTT-00,, $-   
2904008-6,GYSA JUAREZ 2,FLETES SOTELO,LOC-01,, $125.00 
2905148-1,GYSA JDC,GYSA JUAREZ 4,PTT-00,, $-   
2905207-3,ACSA,ELECTROLUX / REFRIGERADORES,MDC-01,, $250.00 
2904753-4,APTIV / RIO BRAVO 7 FV32,NA KELLY,TRE-02,, $500.00 
2904627-19,GYSA JDC,GYSA JUAREZ 1,MDC-01,, $250.00 
2904626-15,GYSA JUAREZ 1,GYSA JUAREZ JDC,MDC-01,, $250.00 
2902669-4,FLETES SOTELO,UPS FACILITY 10 LEIGHT FISHER,TRE-QMS,PUENTE ZARAGOZA," $1,000.00 "
2904008-5,GYSA JUAREZ 3,GYSA JUAREZ 2,PTT-00,, $-   
2905230-2,APTIV RIO BRAVO 1 FV39,NA KELLY,EXP-02,PUENTE ZARAGOZA, $500.00 
2904953-4,GYSA JUAREZ 4,GYSA  CDJ,PTT-00,, $-   
2905224-2,NA KELLY,APTIV RIO BRAVO 1 FV39,IMP-02,PUENTE ZARAGOZA, $500.00 
2905406-2,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,FLETES SOTELO,PTT-00,, $-   
2905258-1,BASE SOTELO CHIHUAHUA,SMTC PLANTA 1,PTT-00,, $-   
2904634-19,GYSA JUAREZ 3,GYSA  CDJ,MDC-01,, $250.00 
2905324-2,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,LOC-02,, $250.00 
2905247-1,DSV,SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,LOC-02,, $125.00 
2902669-7,FLETES SOTELO,UPS FACILITY 10 LEIGHT FISHER,FAL-00,, $250.00 
2905406-1,HONEYWELL ADENCO,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LOC-02,, $125.00 
2905230-1,FLETES SOTELO,APTIV RIO BRAVO 1 FV39,PTT-00,, $-   
2905059-1,18 LEIGH FISHER,13699 GATEWAY WEST,PTT-00,, $-   
2904879-3,FLETES SOTELO,EASTLAKE LOGISTICS PARK,FAL-00,, $250.00 
2905207-2,ARIES WORLDWIDE LOGISTICS C/O,ACSA,IMP-01,PUENTE ZARAGOZA, $625.00 
2905231-1,EMERALD PASS DR.,18 LEIGH FISHER,LOC-03,, $250.00 
2905216-1,STANCO METAL PRODUCTS,P Y H TRAILER ENTERPRISES INC,PTT-00,, $-   
2905324-1,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,LOC-01,, $250.00 
2905249-1,BASE SOTELO CHIHUAHUA,DSV,LOC-01,, $125.00 
2905239-1,YAZAKI COMPONENTES PLANTA 3,IMPULSORA GANE,PTT-00,, $-   
2905229-3,FLETES SOTELO,NA KELLY,TRE-02,, $500.00 
2905227-2,FLETES SOTELO,ELECTROLUX / REFRIGERADORES,MDC-01,, $375.00 
2904802-4,SHELTER AIN SERVICIOS,KORIMA / KUNA LOOP,EXP-02,PUENTE ZARAGOZA, $500.00 
2905211-1,P Y H TRAILER ENTERPRISES INC,ELECTROLUX / PRODUCTO TERMINADO,I-VACIO,PUENTE AMERICAS, $500.00 
2905232-1,EMERALD PASS DR.,18 LEIGH FISHER,LOC-04,, $250.00 
2905354-1,LEAR LA CUESTA,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LOC-02,, $250.00 
2904712-21,TRACSO CHIHUAHUA,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,MDC-01,, $125.00 
2905210-2,SMTC PULLMAN,FLETES SOTELO,TRI-02,PUENTE ZARAGOZA, $500.00 
2905008-4,EXPEDITORS #2,EXPEDITORS  #1,LOC-03,, $125.00 
2905169-2,ACSA,ELECTROLUX / REFRIGERADORES,PTT-02,, $-   
2905207-1,STANCO METAL PRODUCTS,ARIES WORLDWIDE LOGISTICS C/O,PTT-00,, $-   
2904712-20,BASE SOTELO CHIHUAHUA,TRACSO CHIHUAHUA,MDC-01,, $125.00 
2905405-1,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,HONEYWELL ADENCO,LOC-01,, $125.00 
2905353-1,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LEAR LA CUESTA,LOC-01,, $250.00 
2904880-8,PACTIV DE MEXICO S. DE R.L DE C.V.,BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2905210-1,UNI-TRADE FORWARDING LC,SMTC PULLMAN,PTT-00,, $-   
2905220-1,GYSA  CDJ,GYSA JUAREZ 4,LOC-02,, $125.00 
2905201-1,P Y H TRAILER ENTERPRISES INC,MELTON,PTT-00,, $-   
2905380-1,HONEYWELL 2,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LOC-02,, $250.00 
2905364-1,KORIMA / KUNA LOOP,18 LEIGH FISHER,LOC-04,, $250.00 
2905234-1,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,XYLEM,PTT-00,, $-   
2904880-7,BASE SOTELO CHIHUAHUA,PACTIV DE MEXICO S. DE R.L DE C.V.,PTT-00,, $-   
2904710-7,IBCA LOGYSTICS,UNI-TRADE FORWARDING LC,LOC-04,, $250.00 
2904776-14,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C3,BASE SOTELO CHIHUAHUA,MDC-01,, $125.00 
2905349-1,LEAR LAS TORRES,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LOC-02,, $125.00 
2904995-6,UPS FACILITY 10 LEIGHT FISHER,18 LEIGH FISHER,LOC-04,, $125.00 
2904795-5,NORDAM,BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2904795-4,SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),NORDAM,PTT-00,, $-   
2905045-2,SMTC PULLMAN,IBCA LOGYSTICS,PTT-00,, $-   
2905213-2,SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),LOC-02,, $125.00 
2905169-1,YARDA ARIES,ACSA,S-TER-02,PUENTE ZARAGOZA," $1,000.00 "
2905204-6,UPS FACILITY 10 LEIGHT FISHER,OLD DOMINION FREIGHT LINE,LOC-03,, $250.00 
2905213-1,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,PTT-00,, $-   
2904712-19,BASE SOTELO CHIHUAHUA,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,MDC-01,, $125.00 
2905095-1,ELECTROLUX / REFRIGERADORES,STANCO METAL PRODUCTS,S-TER-01,PUENTE ZARAGOZA," $1,000.00 "
2905005-1,SMTC PULLMAN,NA KELLY,PTT-00,, $-   
2905078-2,P Y H TRAILER ENTERPRISES INC,YARDA ARIES,PTT-00,, $-   
2905376-1,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,HONEYWELL 2,LOC-01,, $250.00 
2905398-1,LEAR SAN LORENZO,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LOC-02,, $250.00 
2905200-1,BASE SOTELO CHIHUAHUA,IMPULSORA GANE,LOC-01,, $125.00 
2905346-1,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LEAR LAS TORRES,LOC-01,, $125.00 
2904779-15,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,MDC-01,, $250.00 
2905373-1,LEAR MONARCA,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,PTT-01,, $-   
2905204-1,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 3/OSM/OXYGEN SYSTEMS,LOC-01,, $125.00 
2905177-2,DSV,BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2904880-6,PACTIV DE MEXICO S. DE R.L DE C.V.,BASE SOTELO CHIHUAHUA,PTT-00,, $-   
2904802-3,GYSA JUAREZ JDC,SHELTER AIN SERVICIOS,PTT-00,, $-   
2905372-1,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LEAR MONARCA,LOC-01,, $250.00 
2904623-19,GYSA JUAREZ 3,GYSA JUAREZ JDC,MDC-01,, $250.00 
2905396-1,LEAR LA CUESTA,LEAR SAN LORENZO,LOC-02,, $125.00 
2905147-2,DTR,BASE SOTELO CHIHUAHUA,MDC-01,, $125.00 
2905150-6,FLETES SOTELO,IBCA LOGYSTICS,TRE-02,PUENTE ZARAGOZA, $500.00 
2905150-4,XOMOX CHIHUAHUA S.A DE C.V.,BASE SOTELO CHIHUAHUA,MDC-01,, $125.00 
2905150-3,BASE SOTELO CHIHUAHUA,XOMOX CHIHUAHUA S.A DE C.V.,PTT-00,, $-   
2905160-2,IMPULSORA GANE,PATIO,PTT-00,, $-   
2905150-2,XOMOX CHIHUAHUA S.A DE C.V.,BASE SOTELO CHIHUAHUA,PTT-00,, $-   
2905176-2,"CHIEF ENTERPRISES MEXICO, S. DE R.L. DE C.V.",BASE SOTELO CHIHUAHUA,MDC-01,, $125.00 
2905147-1,BASE SOTELO CHIHUAHUA,DTR,PTT-00,, $-   
2904995-5,SHELTER AIN SERVICIOS,UPS FACILITY 10 LEIGHT FISHER,EXP-02,PUENTE ZARAGOZA, $500.00 
2905109-2,GYSA JUAREZ 3,GYSA JUAREZ 1,MDC-01,, $125.00 
2905086-3,CENTURY MOLD MEXICO S DE RL DE CV,BASE SOTELO CHIHUAHUA,MDC-01,, $125.00 
2905150-1,BASE SOTELO CHIHUAHUA,XOMOX CHIHUAHUA S.A DE C.V.,LOC-01,, $125.00 
2905048-2,ACSA,ELECTROLUX / PRODUCTO TERMINADO,PTT-00,, $-   
2905176-1,BASE SOTELO CHIHUAHUA,"CHIEF ENTERPRISES MEXICO, S. DE R.L. DE C.V.",LOC-01,, $125.00 
2905116-1,13699 GATEWAY WEST,18 LEIGH FISHER,LOC-03,, $375.00 
2905174-3,ACCUDYN DE MÉXICO S. DE R.L. DE C.V.,BASE SOTELO CHIHUAHUA,MDC-01,, $125.00 
2904720-4,SMTC PLANTA 1,BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2904133-6,FLETES SOTELO,GYSA JUAREZ 2,PTT-00,, $-   
2904624-17,GYSA JUAREZ JDC,GYSA JUAREZ 1,MDC-01,, $250.00 
2904879-4,FLETES SOTELO,EASTLAKE LOGISTICS PARK,TRE-02,PUENTE ZARAGOZA, $500.00 
2905008-3,FLETES SOTELO,EXPEDITORS #2,TRE-02,PUENTE ZARAGOZA, $500.00 
2905111-4,FEDEX GROUND,FEDEX AIR,LOC-01,, $250.00 
2905371-1,TORO COMPANY DE MEXICO PLANTA 1,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LOC-01,, $125.00 
2904712-16,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,TRACSO CHIHUAHUA,MDC-01,, $125.00 
2905099-1,FLETES SOTELO,13699 GATEWAY WEST,E-VACIO,PUENTE AMERICAS, $375.00 
2905302-1,FLETES SOTELO,13699 GATEWAY WEST,E-VACIO,, $375.00 
2905227-1,ELECTROLUX / REFRIGERADORES,FLETES SOTELO,MDC-01,, $375.00 
2904623-17,GYSA JUAREZ 4,GYSA JUAREZ JDC,MDC-01,, $125.00 
2905112-2,SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,BASE SOTELO CHIHUAHUA,PTT-00,, $-   
2905307-1,SOUTHWIRE COMPANY,18 LEIGH FISHER,LOC-03,, $375.00 
2905086-2,"CHIEF ENTERPRISES MEXICO, S. DE R.L. DE C.V.",CENTURY MOLD MEXICO S DE RL DE CV,LOC-02,, $125.00 
2904779-14,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C3,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,MDC-01,, $125.00 
2905092-1,FLETES SOTELO,18 LEIGH FISHER,E-VACIO,PUENTE AMERICAS, $250.00 
2905261-1,FLETES SOTELO,18 LEIGH FISHER,E-VACIO,, $250.00 
2905104-5,FOKKER,BASE SOTELO CHIHUAHUA,PTT-00,, $-   
2905174-1,BASE SOTELO CHIHUAHUA,CHIEF ENTERPRISES,LOC-01,, $125.00 
2905045-1,KORIMA / KUNA LOOP,IBCA LOGYSTICS,LOC-04,, $250.00 
2904776-13,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C3,MDC-01,, $125.00 
2904636-10,GYSA  CDJ,GYSA JUAREZ 5,MDC-01,, $125.00 
2905390-1,LEAR MONARCA,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LOC-02,, $250.00 
2905098-5,FOKKER,BASE SOTELO CHIHUAHUA,MDC-01,, $125.00 
2905096-5,SOUTHCO.,BASE SOTELO CHIHUAHUA,MDC-01,, $125.00 
2905370-1,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,TORO COMPANY DE MEXICO PLANTA 1,LOC-01,, $125.00 
2905086-1,BASE SOTELO CHIHUAHUA,"CHIEF ENTERPRISES MEXICO, S. DE R.L. DE C.V.",VAC-00,, $125.00 
2904623-16,GYSA JUAREZ JDC,GYSA JUAREZ 4,MDC-01,, $125.00 
2905152-1,BASE SOTELO CHIHUAHUA,XYLEM,LOC-01,, $125.00 
2905080-5,WIREMASTERS,BASE SOTELO CHIHUAHUA,MDC-01,, $125.00 
2905080-4,BASE SOTELO CHIHUAHUA,WIREMASTERS,MDC-01,, $125.00 
2905071-5,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),MDC-01,, $125.00 
2905071-2,FLETES SOTELO,RIO BRAVO INTERNACIONAL,PTT-00,PUENTE ZARAGOZA, $-   
2905332-3,GEN,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,FOR-01,, $250.00 
2904636-9,GYSA JUAREZ 5,GYSA  CDJ,MDC-01,, $125.00 
2905306-1,HISCO EL PASO,SOUTHWIRE COMPANY,LOC-03,, $375.00 
2904931-6,FLETES SOTELO,SMTC PULLMAN,TRE-02,PUENTE ZARAGOZA, $500.00 
2905305-1,DELFINGEN US-TEXAS,HISCO EL PASO,LOC-03,, $250.00 
2904762-4,FLETES SOTELO,RIO BRAVO INTERNACIONAL,S-TER-02,PUENTE STA TERESA," $1,500.00 "
2904765-3,FLETES SOTELO,RIO BRAVO INTERNACIONAL,S-TER-01,PUENTE STA TERESA," $1,500.00 "
2904712-11,SMTC PLANTA 1,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,MDC-01,, $125.00 
2904870-5,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),MDC-01,, $125.00 
2905102-1,NORDAM,FOKKER,PTT-08,, $-   
2904779-13,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C3,MDC-01,, $250.00 
